market,asin,title,keyword,store,remark,link,image_url,Discount Price,Commission,status
FR,B0FSZW4KG9,法国触屏笔,pencil ipad air 13 pouces,guangzhouxinmiaochangdianziyouxiangongsi,,https://amzn.to/44oALhQ,https://m.media-amazon.com/images/I/71MhWBBVFpL._AC_SX679_.jpg,0.00,0.00,active
FR,B0G3GRGQQN,法国腹贴,electrostimulateur musculaire,hulonglongjingpin,Need Text Review,https://amzn.to/3MU84n0,https://m.media-amazon.com/images/I/71cOymU-TmL._AC_SX679_.jpg,0.00,0.00,active
FR,B0FS5Y149C,法国驱赶器,ultrasonique pour Rats,Daissz Store,Need Text Review,https://amzn.to/3Lk6ydq,https://m.media-amazon.com/images/I/61+Auv2FeFL._AC_SX679_.jpg,0.00,0.00,active
FR,B0FR5D34MX,法国成用,vibro masseur femme clitoridien,ruixiandianzi,Need Text Review,https://amzn.to/4p7sdnY,https://m.media-amazon.com/images/I/61RYXFCEF8L._AC_SX425_.jpg,0.00,0.00,active
FR,B0FS5Y149C,法国驱鼠器,ultrasonique pour Rats,Daissz Store,Need Text Review,https://amzn.to/4aZav1G,https://m.media-amazon.com/images/I/61+Auv2FeFL._AC_SX679_.jpg,0.00,0.00,active
FR,B0DCG12F1K,法国 iPhone 16 Pro Max 手机壳, oretech coque pour 16 pro max ,ORETech EU,No Review,https://amzn.to/49Cn0Q9,https://m.media-amazon.com/images/I/81Kcx9O6rYL._AC_SY355_.jpg,0.00,0.00,active
FR,B0DCG12F1K,法国 iPhone 16 Pro Max 手机壳, oretech coque pour 16 pro max ,ORETech EU,Need Text Review,https://amzn.to/3XQGLw2,https://m.media-amazon.com/images/I/81Kcx9O6rYL._AC_SY355_.jpg,0.00,2.00,active
FR,B0D1XW2MDY,法国iphone 15Plus手机壳, coque iphone 15 plus, ORETech EU,No Review,https://amzn.to/3LViYIW,https://m.media-amazon.com/images/I/712i0x5Va9L._AC_SX425_.jpg,0.00,1.00,active
FR,B0FSZWYVGX,法国触屏笔,pencil ipad air 13 pouces,guangzhouxinmiaochangdianziyouxiangongsi,Need Text Review,https://amzn.to/44oAMlU,https://m.media-amazon.com/images/I/71yukQv88vL._AC_SX679_.jpg,0.00,0.00,active
FR,B0FWR5BL97,法国车用超声波,répulsif anti-rats à ultrasons avec led,WLJIAN SHOP,Need Text Review,https://amzn.to/3L0VSQX,https://m.media-amazon.com/images/I/61Is-WEtOHL._AC_SX679_.jpg,0.00,0.00,active
FR,B0FL237K86,法国驱赶器,Répulsif Chat Ultrason,PeoGugr,Need Text Review,https://amzn.to/4alxmUV,https://m.media-amazon.com/images/I/71mKtZSv2pL._AC_SX679_.jpg,0.00,0.00,active
FR,B0FSQRHZC4,法国驱赶器,répulsif 2 modes repulsif chat,PeoGugr,Need Text Review,https://amzn.to/494T3pS,https://m.media-amazon.com/images/I/71mKtZSv2pL._AC_SX679_.jpg,0.00,0.00,active
FR,B0FSZX3F9Z,法国触屏笔,pencil ipad air 13 pouces,guangzhouxinmiaochangdianziyouxiangongsi,Need Text Review,https://amzn.to/4pyB3uE,https://m.media-amazon.com/images/I/71ubkytgKcL._AC_SX679_.jpg,0.00,0.00,active
FR,B0FX2K3MZR,法国止吠器,anti aboiement chien ultrason puissant,FuQiang,Need Text Review,https://amzn.to/4rBDLBn,https://m.media-amazon.com/images/I/71MAZJi5O8L._AC_SX679_.jpg,0.00,0.00,active
FR,B0DCFX852B,法国 iPhone 16手机壳,coque iphone 16 oretech, ORETech EU,Need Text Review,https://amzn.to/484BLdj,https://m.media-amazon.com/images/I/81JtaAETIXL._AC_SY355_.jpg,0.00,2.00,active
FR,B0DCG2KX4N,法国 iPhone 16 Pro 手机壳, oretech coque pour 16 pro,ORETech EU,No Review,https://amzn.to/4oijTjO,https://m.media-amazon.com/images/I/81AZa9hKelL._AC_SY355_.jpg,0.00,0.00,active
FR,B0FQ57PF4B,法国驱蚊灯,Prises Répulsif Nuisible,Vansufo Store,Need Text Review,https://amzn.to/4oIEGxl,https://m.media-amazon.com/images/I/61Kst9sQ+KL._AC_SX679_.jpg,0.00,0.00,active
FR,B0DCFX852B,法国 iPhone 16手机壳,coque iphone 16 oretech, ORETech EU,No Review,https://amzn.to/48ph9vf,https://m.media-amazon.com/images/I/81JtaAETIXL._AC_SY355_.jpg,0.00,0.00,active
FR,B0D1XM7GRW,法国 iphone 15手机壳,coque iphone 15 silicone, ORETech EU,No Review,https://amzn.to/4prWWMi,https://m.media-amazon.com/images/I/712i0x5Va9L._AC_SX425_.jpg,0.00,1.00,active
